Field,Fusion Energy,"Advanced Nuclear (SMRs, Gen IV)",Hydrogen & Fuel Cells,Grid-Scale Energy Storage,"Carbon Capture, Utilization & Storage (CCUS)",Geoengineering & Atmospheric Control,Precision Agriculture & Nature-Tech,Water Purification & Desalination
Total of Firms Number (North America),1400,1400,1400,1400,1400,1400,1400,1400
Total Number of Firms (Canada),175,175,175,175,175,175,175,175
Total Number of Firms (U.S ),1100,1100,1100,1100,1100,1100,1100,1100
Total Number of Firms (Mexico),125,125,125,125,125,125,125,125
Startup Stage (North America),1190,1190,1190,1190,1190,1190,1190,1190
Startup Stage (Canada),148,148,148,148,148,148,148,148
Startup Stage (U.S),935,935,935,935,935,935,935,935
Startup Stage (Mexico),106,106,106,106,106,106,106,106
Public (North America),12,12,12,12,12,12,12,12
Public (Canada),10,10,10,10,10,10,10,10
Public (U.S),13,13,13,13,13,13,13,13
Public (Mexico),9,9,9,9,9,9,9,9
Private (North America),88,88,88,88,88,88,88,88
Private (Canada),90,90,90,90,90,90,90,90
Private (U.S),87,87,87,87,87,87,87,87
Private (Mexico),91,91,91,91,91,91,91,91
# Patents (North America),2250,2250,2250,2250,2250,2250,2250,2250
# Patents (Canada),22,22,22,22,22,22,22,22
# Patents (U.S),68,68,68,68,68,68,68,68
% Patents (Mexico vs North America) ,10,10,10,10,10,10,10,10
Vertical Intergration ,Medium-High,Medium-High,Medium-High,Medium-High,Medium-High,Medium-High,Medium-High,Medium-High
Competitive Advantage (North America),Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem,Integrated Innovation Ecosystem
Competitive Advantage (Canada),Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support,Research Excellence & Government Support
Competitive Advantage (U.S),Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access,Market Scale & Capital Access
Competitive Advantage (Mexico),Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage,Manufacturing Efficiency & Cost Advantage
Cost Advantage (North America) ,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs,Moderate - High R&D Costs
Cost Advantage (Canada) ,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives,Government R&D Incentives
Cost Advantage (Mexico),Lower Operating Costs,Lower Operating Costs,Lower Operating Costs,Lower Operating Costs,Lower Operating Costs,Lower Operating Costs,Lower Operating Costs,Lower Operating Costs
Differentiation Advantage (North America),Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership,Technology Integration Leadership
Differentiation Advantage (Canada),Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration,Academic-Industry Collaboration
Differentiation Advantage (Mexico),Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub,Manufacturing & Assembly Hub
Vertical Intergration Opportunities (North America),Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development,Platform & Ecosystem Development
Vertical Intergration Opportunities  (Canada),Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline,Research-to-Market Pipeline
Vertical Intergration Opportunities  (Mexico),Supply Chain Integration,Supply Chain Integration,Supply Chain Integration,Supply Chain Integration,Supply Chain Integration,Supply Chain Integration,Supply Chain Integration,Supply Chain Integration
Diversification Strategy/Opportunities (North America),Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence,Cross-Technology Convergence
Diversification Strategy/Opportunities (Canada),Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration,Clean Tech & AI Integration
Diversification Strategy/Opportunities (Mexico),Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0,Industrial IoT & Manufacturing 4.0
